[DEBUG] 2022-06-14 19:42:33.158 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 19:42:35.180 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 49ms, rows: 10
[DEBUG] 2022-06-14 19:42:35.191 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:42:46.051 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 19:42:49.659 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 1690ms, rows: 10000
[DEBUG] 2022-06-14 19:42:49.726 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 5ms, rows: 10
[DEBUG] 2022-06-14 19:42:49.736 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 4ms, rows: 1
[DEBUG] 2022-06-14 19:42:49.759 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 5ms, rows: 10
[DEBUG] 2022-06-14 19:42:49.766 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 5ms, rows: 1
[DEBUG] 2022-06-14 19:42:50.565 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 763ms, rows: 10000
[DEBUG] 2022-06-14 19:42:50.598 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 5ms, rows: 10
[DEBUG] 2022-06-14 19:42:50.603 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 4ms, rows: 1
[DEBUG] 2022-06-14 19:42:50.626 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 4ms, rows: 10
[DEBUG] 2022-06-14 19:42:50.632 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 4ms, rows: 1
[DEBUG] 2022-06-14 19:42:51.295 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 636ms, rows: 10000
[DEBUG] 2022-06-14 19:42:51.327 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 5ms, rows: 10
[DEBUG] 2022-06-14 19:42:51.332 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 4ms, rows: 1
[DEBUG] 2022-06-14 19:42:51.354 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 4ms, rows: 10
[DEBUG] 2022-06-14 19:42:51.359 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 5ms, rows: 1
[DEBUG] 2022-06-14 19:42:51.984 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 594ms, rows: 10000
[DEBUG] 2022-06-14 19:42:52.008 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:42:52.012 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:42:52.026 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:42:52.029 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:42:52.622 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 571ms, rows: 10000
[DEBUG] 2022-06-14 19:42:52.648 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 3ms, rows: 10
[DEBUG] 2022-06-14 19:42:52.652 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:42:52.671 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 3ms, rows: 10
[DEBUG] 2022-06-14 19:42:52.676 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 4ms, rows: 1
[DEBUG] 2022-06-14 19:42:53.252 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 548ms, rows: 10000
[DEBUG] 2022-06-14 19:42:53.275 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:42:53.277 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:42:53.290 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:42:53.293 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:42:53.860 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 551ms, rows: 10000
[DEBUG] 2022-06-14 19:42:53.883 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:42:53.887 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:42:53.902 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:42:53.905 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:42:54.452 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 530ms, rows: 10000
[DEBUG] 2022-06-14 19:42:54.472 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:42:54.475 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:42:54.488 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:42:54.492 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:42:55.050 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 543ms, rows: 10000
[DEBUG] 2022-06-14 19:42:55.069 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:42:55.073 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:42:55.086 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:42:55.090 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 4ms, rows: 1
[DEBUG] 2022-06-14 19:42:55.712 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 603ms, rows: 10000
[DEBUG] 2022-06-14 19:42:55.729 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:42:55.733 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:42:55.746 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 3ms, rows: 10
[DEBUG] 2022-06-14 19:42:55.749 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
